Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Tuition_fees_up_to_date,Scholarship_holder,Age_at_enrollment,Debtor,Admission_grade,Application_mode,Displaced,Previous_qualification_grade,Status
0,0.0,0,0.0,Yes,No,43,No,128.8,Over 23 years old,Yes,133.1,Dropout
2,12.0,1,10.0,Yes,No,55,No,122.9,Change of course,No,140.0,Dropout
5,11.6,5,11.0,Yes,No,39,No,113.9,Over 23 years old,Yes,120.0,Graduate
3,12.0,3,11.666666666666666,No,No,20,Yes,120.0,Technological specialization diploma holders,No,120.0,Dropout
0,0.0,4,12.75,Yes,No,18,Yes,121.1,1st phase - general contingent,No,126.0,Dropout
5,15.8,5,14.8,Yes,No,22,No,120.4,1st phase - general contingent,Yes,133.0,Graduate
7,14.342857142857142,5,13.928,Yes,No,22,No,100.6,1st phase - general contingent,Yes,103.0,Graduate
5,13.8,4,13.0,No,No,20,No,121.4,2nd phase - general contingent,No,120.0,Dropout
0,0.0,0,0.0,Yes,No,29,No,109.7,Over 23 years old,No,133.1,Dropout
3,14.333333333333334,2,11.5,Yes,No,24,No,134.1,2nd phase - general contingent,No,154.0,Enrolled
5,13.2,6,11.666666666666666,Yes,No,18,No,127.6,2nd phase - general contingent,Yes,130.0,Graduate
7,13.771428571428572,6,13.516666666666666,Yes,Yes,22,No,132.4,2nd phase - general contingent,Yes,132.0,Graduate
6,13.285714285714286,6,11.5,Yes,Yes,21,No,133.4,Technological specialization diploma holders,No,130.0,Graduate
6,12.833333333333334,5,12.333333333333334,Yes,Yes,19,No,126.1,1st phase - general contingent,No,139.0,Graduate
6,14.166666666666666,6,13.666666666666666,Yes,Yes,24,No,113.5,Over 23 years old,No,130.0,Graduate
6,11.833333333333334,6,11.833333333333334,Yes,Yes,19,No,121.3,1st phase - general contingent,Yes,139.0,Enrolled
3,11.0,4,14.0,Yes,Yes,20,No,121.8,1st phase - general contingent,Yes,127.0,Enrolled
5,15.8,5,14.714285714285714,Yes,No,19,No,159.3,1st phase - general contingent,No,167.0,Graduate
5,11.0,5,10.6,Yes,No,27,No,120.0,Over 23 years old,No,130.0,Dropout
8,13.595,7,13.044444444444444,Yes,No,18,No,129.1,1st phase - general contingent,Yes,130.0,Graduate
0,0.0,0,0.0,Yes,No,39,No,130.0,Holders of other higher courses,No,130.0,Dropout
10,12.9,5,13.0,Yes,No,27,No,155.3,Over 23 years old,Yes,129.0,Dropout
8,14.935,8,14.935,Yes,No,18,No,139.8,2nd phase - general contingent,Yes,141.0,Graduate
0,0.0,0,0.0,Yes,No,18,No,115.2,1st phase - general contingent,Yes,125.0,Enrolled
7,12.221428571428572,6,13.133333333333333,Yes,No,18,No,114.9,1st phase - general contingent,No,125.0,Graduate
6,12.0,6,12.0,Yes,Yes,21,No,131.9,Technological specialization diploma holders,No,130.0,Graduate
0,0.0,0,0.0,Yes,Yes,19,No,126.0,2nd phase - general contingent,Yes,133.0,Enrolled
1,10.0,5,11.4,Yes,No,19,No,130.2,2nd phase - general contingent,Yes,127.0,Enrolled
0,0.0,0,0.0,Yes,No,24,No,120.9,Change of course,No,116.0,Enrolled
5,11.0,5,11.9,Yes,No,29,No,126.0,Transfer,Yes,133.1,Dropout
0,0.0,0,0.0,Yes,Yes,19,No,128.2,1st phase - general contingent,Yes,139.0,Graduate
6,12.428571428571429,6,12.571428571428571,Yes,No,23,No,130.0,Technological specialization diploma holders,Yes,130.0,Graduate
4,10.75,5,11.2,Yes,No,19,Yes,120.1,1st phase - general contingent,No,125.0,Dropout
5,10.8,6,12.0,Yes,No,26,No,100.0,Over 23 years old,No,160.0,Enrolled
0,0.0,0,0.0,Yes,No,18,No,134.0,2nd phase - general contingent,No,148.0,Enrolled
8,13.75,7,11.975,Yes,No,24,No,130.8,2nd phase - general contingent,No,150.0,Graduate
0,0.0,0,0.0,Yes,No,19,No,135.8,1st phase - general contingent,Yes,141.0,Dropout
1,12.0,3,11.666666666666666,Yes,No,18,No,111.7,2nd phase - general contingent,Yes,118.0,Dropout
3,12.333333333333334,6,12.333333333333334,Yes,No,18,No,132.9,1st phase - general contingent,Yes,142.0,Graduate
3,10.857142857142858,3,10.333333333333334,Yes,No,18,Yes,115.5,2nd phase - general contingent,Yes,120.0,Dropout
1,11.0,4,10.5,Yes,Yes,21,No,106.0,3rd phase - general contingent,Yes,106.0,Dropout
6,13.333333333333334,6,13.666666666666666,Yes,Yes,19,Yes,120.3,2nd phase - general contingent,Yes,121.0,Graduate
8,15.055555555555555,7,14.842857142857142,Yes,Yes,22,No,130.8,2nd phase - general contingent,No,150.0,Graduate
6,11.666666666666666,6,12.0,Yes,No,33,No,117.0,Over 23 years old,No,120.0,Graduate
5,12.2,5,12.2,Yes,No,20,No,110.2,1st phase - general contingent,Yes,114.0,Dropout
0,0.0,0,0.0,Yes,No,35,No,155.7,Over 23 years old,Yes,140.0,Dropout
10,13.3,6,12.166666666666666,Yes,No,24,Yes,180.4,Over 23 years old,No,160.0,Dropout
3,11.333333333333334,5,12.0,Yes,No,18,No,125.5,2nd phase - general contingent,No,120.0,Enrolled
5,11.0,6,11.0,Yes,No,33,No,110.0,Over 23 years old,Yes,130.0,Graduate
7,13.08,7,13.08,Yes,Yes,22,No,161.0,Transfer,Yes,160.0,Graduate
5,11.6,4,10.5,Yes,Yes,25,No,100.0,Over 23 years old,No,120.0,Graduate
5,11.2,6,10.666666666666666,Yes,No,20,No,117.6,2nd phase - general contingent,Yes,124.0,Graduate
5,13.8,4,14.0,Yes,No,23,No,128.7,1st phase - general contingent,Yes,143.0,Enrolled
0,0.0,2,10.0,Yes,No,18,Yes,112.2,Change of course,Yes,115.0,Enrolled
0,0.0,0,0.0,Yes,No,24,No,100.8,Over 23 years old,No,133.1,Dropout
6,13.5,6,14.0,No,No,21,No,105.0,2nd phase - general contingent,Yes,133.1,Graduate
0,0.0,2,12.0,Yes,No,26,No,100.0,International student (bachelor),No,133.1,Dropout
0,0.0,3,12.666666666666666,Yes,No,39,No,115.5,Over 23 years old,No,133.1,Dropout
6,12.333333333333334,8,11.875,Yes,No,44,No,114.0,Over 23 years old,No,133.1,Graduate
3,13.25,5,14.0,Yes,No,19,No,137.0,International student (bachelor),Yes,130.0,Enrolled
6,13.333333333333334,6,13.666666666666666,Yes,No,18,No,124.9,1st phase - general contingent,Yes,135.0,Graduate
8,14.47777777777778,7,13.75,Yes,Yes,18,No,120.3,1st phase - general contingent,Yes,132.0,Graduate
5,13.8,5,14.2,Yes,No,19,No,134.3,1st phase - general contingent,Yes,135.0,Enrolled
0,0.0,4,11.96,No,No,19,Yes,111.5,1st phase - general contingent,Yes,115.0,Dropout
5,13.4,8,12.875,Yes,No,21,No,128.8,Short cycle diploma holders,No,130.0,Dropout
0,0.0,0,0.0,Yes,No,20,No,110.0,1st phase - general contingent,Yes,133.1,Graduate
0,0.0,0,0.0,Yes,No,36,No,113.5,Over 23 years old,Yes,130.0,Dropout
13,14.23076923076923,18,14.63157894736842,Yes,No,43,No,160.0,Over 23 years old,No,133.1,Graduate
0,0.0,0,0.0,Yes,No,19,No,117.4,3rd phase - general contingent,Yes,123.0,Dropout
11,12.272727272727272,10,13.0,Yes,No,20,Yes,122.2,Change of institution/course,No,130.0,Graduate
0,0.0,0,0.0,Yes,No,19,No,118.2,1st phase - general contingent,Yes,122.0,Dropout
4,13.25,4,14.2,Yes,No,20,No,106.7,1st phase - general contingent,Yes,113.0,Dropout
5,12.3,6,13.266666666666666,Yes,No,20,No,108.2,1st phase - general contingent,Yes,111.0,Dropout
3,13.0,6,11.666666666666666,Yes,No,20,No,107.0,2nd phase - general contingent,Yes,133.1,Enrolled
6,15.0,6,13.857142857142858,Yes,No,18,No,136.1,1st phase - general contingent,Yes,142.0,Graduate
3,11.0,3,13.0,Yes,Yes,18,No,115.3,2nd phase - general contingent,Yes,123.0,Enrolled
5,12.8,5,13.4,Yes,No,19,No,139.8,1st phase - general contingent,Yes,131.0,Graduate
6,12.571428571428571,6,12.666666666666666,Yes,No,18,No,157.0,1st phase - general contingent,Yes,158.0,Graduate
6,12.516666666666666,6,12.516666666666666,Yes,No,18,No,131.0,2nd phase - general contingent,Yes,122.0,Dropout
7,13.0,6,11.616666666666667,Yes,No,20,No,100.0,Change of course,No,130.0,Enrolled
4,10.75,2,10.0,Yes,Yes,20,No,140.4,2nd phase - general contingent,Yes,154.0,Enrolled
3,10.666666666666666,3,10.333333333333334,Yes,No,20,No,113.4,2nd phase - general contingent,No,120.0,Enrolled
5,11.4,5,13.142857142857142,Yes,No,18,No,137.0,1st phase - general contingent,No,140.0,Graduate
5,14.0,5,12.6,Yes,No,18,No,121.8,1st phase - general contingent,No,127.0,Graduate
2,11.0,3,11.0,Yes,No,21,No,131.0,2nd phase - general contingent,Yes,133.1,Dropout
4,11.25,5,10.8,Yes,No,19,No,118.6,1st phase - general contingent,Yes,120.0,Graduate
0,0.0,0,0.0,Yes,No,19,No,122.3,1st phase - general contingent,No,137.0,Dropout
5,14.2,5,12.8,Yes,Yes,19,No,127.9,1st phase - general contingent,No,131.0,Graduate
6,12.2,6,14.166666666666666,Yes,No,19,No,121.3,1st phase - general contingent,Yes,130.0,Graduate
0,0.0,5,12.1,Yes,No,19,No,117.1,2nd phase - general contingent,Yes,122.0,Dropout
5,13.77777777777778,6,14.166666666666666,Yes,No,20,No,160.0,Technological specialization diploma holders,Yes,160.0,Graduate
5,13.4,5,12.8,Yes,Yes,18,No,145.3,1st phase - general contingent,Yes,146.0,Enrolled
6,13.666666666666666,6,13.0,Yes,No,18,No,122.6,2nd phase - general contingent,Yes,131.0,Graduate
8,15.011111111111113,7,13.467142857142855,Yes,No,19,No,128.0,2nd phase - general contingent,Yes,132.0,Graduate
7,13.742857142857144,7,13.2375,Yes,Yes,18,No,124.9,1st phase - general contingent,Yes,138.0,Dropout
6,13.0,6,12.333333333333334,Yes,No,18,No,123.7,2nd phase - general contingent,Yes,130.0,Graduate
5,14.6,5,12.4,Yes,No,19,No,120.1,1st phase - general contingent,Yes,126.0,Graduate
0,0.0,5,14.0,Yes,No,19,No,131.7,2nd phase - general contingent,Yes,148.0,Dropout
7,11.714285714285714,9,11.666666666666666,Yes,No,20,No,133.2,Change of course,No,130.0,Graduate
4,12.5,5,12.0,No,Yes,19,Yes,109.3,1st phase - general contingent,No,117.0,Dropout
4,11.5,4,12.2,Yes,No,20,No,113.0,2nd phase - general contingent,Yes,120.0,Graduate
6,14.833333333333334,6,14.833333333333334,Yes,Yes,18,Yes,157.9,1st phase - general contingent,No,153.0,Graduate
7,12.892857142857142,5,13.188,Yes,Yes,20,No,112.1,1st phase - general contingent,No,117.0,Enrolled
8,17.5875,7,17.125,Yes,No,18,No,174.7,3rd phase - general contingent,No,178.0,Graduate
6,12.666666666666666,6,12.666666666666666,Yes,No,19,No,128.8,1st phase - general contingent,Yes,129.0,Graduate
5,12.0,6,12.666666666666666,Yes,Yes,19,No,110.1,1st phase - general contingent,Yes,116.0,Graduate
0,0.0,0,0.0,No,No,22,Yes,99.7,Change of institution/course,Yes,99.0,Enrolled
6,11.5,6,11.333333333333334,Yes,Yes,19,No,121.0,1st phase - general contingent,Yes,135.0,Graduate
8,12.33125,7,13.605,Yes,Yes,19,No,131.7,1st phase - general contingent,Yes,141.0,Graduate
5,10.8,5,12.0,Yes,Yes,19,No,119.1,2nd phase - general contingent,Yes,132.0,Graduate
0,0.0,0,0.0,Yes,No,19,No,124.7,1st phase - general contingent,Yes,132.0,Dropout
3,11.666666666666666,5,11.2,Yes,No,20,No,117.2,2nd phase - general contingent,Yes,113.0,Dropout
5,14.166666666666666,5,13.375,Yes,No,18,No,128.8,1st phase - general contingent,No,134.0,Graduate
7,14.178571428571429,6,13.863333333333337,Yes,Yes,20,No,131.5,1st phase - general contingent,No,136.0,Graduate
0,0.0,0,0.0,Yes,No,18,No,121.7,1st phase - general contingent,Yes,136.0,Enrolled
5,13.4,5,12.4,Yes,No,19,No,123.4,1st phase - general contingent,No,129.0,Graduate
5,10.833333333333334,3,12.333333333333334,Yes,No,18,No,124.7,2nd phase - general contingent,Yes,138.0,Enrolled
5,11.8,6,13.333333333333334,Yes,No,18,No,132.8,1st phase - general contingent,Yes,137.0,Graduate
3,10.0,3,12.666666666666666,Yes,No,21,No,108.7,Change of course,Yes,115.0,Dropout
4,11.5,6,12.0,Yes,No,19,No,138.1,1st phase - general contingent,No,129.0,Dropout
5,11.8,5,10.6,Yes,Yes,18,No,126.5,1st phase - general contingent,No,131.0,Graduate
6,11.857142857142858,6,12.25,Yes,Yes,18,No,127.4,2nd phase - general contingent,Yes,133.0,Graduate
6,11.833333333333334,4,11.0,Yes,No,20,No,123.6,1st phase - general contingent,Yes,125.0,Graduate
5,12.6,5,11.0,Yes,Yes,24,No,122.0,Over 23 years old,No,120.0,Graduate
6,13.0,6,13.166666666666666,Yes,No,19,No,118.2,1st phase - general contingent,No,128.0,Dropout
7,12.761111111111113,7,12.855555555555554,Yes,Yes,18,No,123.9,1st phase - general contingent,Yes,127.0,Graduate
8,15.355,7,14.91875,Yes,No,18,No,125.8,1st phase - general contingent,Yes,134.0,Graduate
3,11.0,4,11.5,Yes,No,21,No,123.3,2nd phase - general contingent,Yes,132.0,Dropout
5,14.2,5,14.2,Yes,No,19,No,124.4,2nd phase - general contingent,No,124.0,Graduate
6,13.0,6,12.5,Yes,Yes,19,No,126.0,2nd phase - general contingent,No,133.1,Graduate
0,0.0,0,0.0,Yes,No,47,Yes,170.0,Over 23 years old,No,170.0,Enrolled
4,11.0,5,11.666666666666666,Yes,No,19,No,121.5,2nd phase - general contingent,No,125.0,Graduate
7,14.257142857142856,7,14.257142857142856,Yes,No,29,No,130.0,Over 23 years old,No,130.0,Graduate
2,11.333333333333334,3,12.0,Yes,No,21,No,117.0,Change of course,Yes,125.0,Dropout
4,10.5,4,11.25,Yes,No,28,No,130.0,Over 23 years old,Yes,130.0,Enrolled
8,13.5625,7,12.457142857142856,Yes,No,20,No,108.0,2nd phase - general contingent,No,133.1,Graduate
6,11.683333333333332,6,11.683333333333332,Yes,No,19,No,132.3,2nd phase - general contingent,Yes,131.0,Graduate
5,12.0,3,11.666666666666666,Yes,No,26,No,148.0,Transfer,No,150.0,Graduate
6,13.166666666666666,4,11.75,No,No,20,Yes,122.6,2nd phase - general contingent,Yes,125.0,Dropout
4,13.5,3,11.666666666666666,Yes,Yes,18,No,123.0,1st phase - general contingent,Yes,131.0,Enrolled
5,12.0,5,13.2,Yes,No,27,No,102.5,Over 23 years old,No,130.0,Graduate
4,11.95,4,11.95,Yes,No,20,No,113.3,1st phase - general contingent,Yes,123.0,Dropout
5,10.4,5,12.4,Yes,No,18,No,133.0,1st phase - general contingent,Yes,141.0,Dropout
6,14.583333333333334,6,14.35,Yes,No,33,No,140.0,Holders of other higher courses,No,140.0,Dropout
19,12.789473684210526,21,12.61904761904762,Yes,No,35,No,128.3,Change of course,Yes,140.0,Graduate
6,13.166666666666666,6,12.666666666666666,Yes,Yes,26,No,140.0,Technological specialization diploma holders,No,140.0,Enrolled
0,0.0,5,12.0,No,No,27,Yes,104.0,Over 23 years old,No,133.1,Dropout
0,0.0,6,12.166666666666666,No,No,19,No,122.3,3rd phase - general contingent,Yes,131.0,Dropout
0,0.0,0,0.0,Yes,No,20,No,135.0,2nd phase - general contingent,No,143.0,Dropout
3,10.571428571428571,3,10.0,No,No,20,Yes,119.1,3rd phase - general contingent,Yes,132.0,Dropout
4,10.0,8,11.5,No,No,21,Yes,126.6,Change of course,No,143.0,Enrolled
6,13.05,6,13.05,Yes,Yes,18,No,129.0,2nd phase - general contingent,Yes,141.0,Graduate
0,0.0,2,11.0,Yes,No,24,No,162.3,Over 23 years old,Yes,133.1,Dropout
6,12.0,6,11.5,Yes,No,20,No,163.4,2nd phase - general contingent,Yes,148.0,Graduate
6,12.5,6,12.0,Yes,Yes,21,No,121.5,1st phase - general contingent,No,125.0,Graduate
1,10.0,2,10.0,Yes,No,23,No,122.8,1st phase - general contingent,No,120.0,Enrolled
0,0.0,0,0.0,Yes,No,24,No,118.0,Over 23 years old,Yes,140.0,Dropout
0,0.0,0,0.0,Yes,No,21,No,134.0,Change of institution/course,No,139.0,Dropout
7,12.242857142857144,7,12.242857142857144,Yes,No,18,No,129.8,1st phase - general contingent,Yes,142.0,Graduate
0,0.0,0,0.0,Yes,No,27,No,152.0,Over 23 years old,Yes,130.0,Dropout
8,12.93375,8,12.93375,Yes,No,18,No,122.8,3rd phase - general contingent,Yes,126.0,Graduate
0,0.0,0,0.0,Yes,No,35,No,150.0,Holders of other higher courses,No,150.0,Dropout
7,14.428571428571429,7,12.571428571428571,Yes,No,18,No,131.8,1st phase - general contingent,No,130.0,Graduate
3,11.333333333333334,3,11.816666666666668,Yes,No,35,No,105.9,Over 23 years old,No,120.0,Enrolled
4,14.333333333333334,4,13.75,Yes,No,19,No,132.1,1st phase - general contingent,Yes,138.0,Graduate
6,11.333333333333334,6,11.166666666666666,Yes,No,20,No,127.4,1st phase - general contingent,Yes,127.0,Graduate
7,12.324285714285711,7,12.324285714285711,Yes,No,18,No,129.5,1st phase - general contingent,Yes,140.0,Graduate
6,11.714285714285714,6,12.166666666666666,Yes,No,21,Yes,126.7,Technological specialization diploma holders,No,130.0,Graduate
4,11.25,5,11.142857142857142,Yes,Yes,18,No,116.5,2nd phase - general contingent,No,128.0,Graduate
4,10.75,4,11.0,Yes,No,18,No,119.1,1st phase - general contingent,Yes,132.0,Graduate
7,12.914285714285713,7,12.914285714285713,Yes,No,18,No,126.5,1st phase - general contingent,Yes,149.0,Graduate
6,14.166666666666666,6,13.833333333333334,Yes,Yes,18,No,149.8,1st phase - general contingent,Yes,155.0,Graduate
5,13.4,6,13.857142857142858,Yes,No,19,No,115.1,1st phase - general contingent,Yes,120.0,Graduate
5,12.8,6,13.714285714285714,Yes,Yes,36,No,124.5,Over 23 years old,No,133.1,Dropout
7,12.642857142857142,7,12.642857142857142,Yes,Yes,18,No,128.3,1st phase - general contingent,Yes,131.0,Graduate
6,12.916666666666666,6,12.916666666666666,Yes,Yes,18,No,136.0,1st phase - general contingent,No,149.0,Graduate
6,15.857142857142858,6,15.625,Yes,Yes,20,No,140.0,Change of course,Yes,140.0,Graduate
0,0.0,0,0.0,Yes,Yes,26,No,126.3,Over 23 years old,No,133.1,Dropout
6,12.0,6,11.714285714285714,Yes,No,21,No,126.9,Change of course,No,122.0,Graduate
8,13.3125,6,12.125,Yes,No,25,No,145.0,Over 23 years old,No,130.0,Enrolled
5,11.6,5,11.6,Yes,Yes,19,No,115.8,3rd phase - general contingent,Yes,121.0,Graduate
0,0.0,1,10.0,Yes,No,24,No,100.0,Over 23 years old,Yes,120.0,Dropout
0,0.0,1,10.0,Yes,Yes,27,No,102.5,Over 23 years old,No,133.1,Dropout
2,13.5,0,0.0,Yes,No,21,No,131.5,2nd phase - general contingent,No,121.0,Dropout
3,12.333333333333334,4,13.0,Yes,Yes,18,No,147.0,1st phase - general contingent,No,133.0,Graduate
6,14.5,6,13.333333333333334,Yes,Yes,19,No,122.5,1st phase - general contingent,No,134.0,Graduate
2,12.5,4,11.25,Yes,No,18,No,117.5,1st phase - general contingent,Yes,115.0,Dropout
7,12.19285714285714,5,13.85,Yes,Yes,19,No,150.0,Change of institution/course,No,127.0,Graduate
7,14.9125,6,13.741666666666667,Yes,Yes,19,No,127.5,3rd phase - general contingent,Yes,135.0,Graduate
5,15.8,6,15.333333333333334,Yes,No,33,No,140.0,Holders of other higher courses,No,140.0,Graduate
5,13.8,5,11.0,Yes,No,45,No,130.0,Holders of other higher courses,No,130.0,Graduate
6,12.857142857142858,6,12.0,Yes,Yes,20,No,133.3,1st phase - general contingent,No,135.0,Graduate
0,0.0,0,0.0,Yes,No,28,No,97.0,Over 23 years old,Yes,140.0,Dropout
7,11.571428571428571,7,11.571428571428571,Yes,Yes,19,No,112.0,Change of course,Yes,120.0,Graduate
3,12.666666666666666,6,12.857142857142858,Yes,No,18,No,123.6,1st phase - general contingent,Yes,140.0,Graduate
0,0.0,0,0.0,Yes,No,38,No,130.5,Over 23 years old,No,133.1,Dropout
5,13.2,5,13.0,Yes,No,19,No,133.3,1st phase - general contingent,No,135.0,Graduate
5,12.0,5,11.0,Yes,Yes,21,No,132.1,1st phase - general contingent,No,123.0,Graduate
1,15.0,3,12.0,Yes,No,21,No,100.0,1st phase - general contingent,No,133.1,Dropout
6,13.0,5,12.6,Yes,Yes,22,No,140.4,1st phase - general contingent,No,154.0,Graduate
6,13.166666666666666,5,13.4,Yes,Yes,18,No,141.7,1st phase - general contingent,No,148.0,Graduate
6,11.571428571428571,6,11.333333333333334,Yes,Yes,18,No,119.7,2nd phase - general contingent,No,133.0,Graduate
4,14.25,4,13.5,No,No,25,No,122.5,1st phase - general contingent,Yes,126.0,Dropout
3,10.333333333333334,3,11.75,No,No,24,Yes,140.0,Over 23 years old,No,133.1,Dropout
7,11.4625,6,12.471428571428572,Yes,No,19,No,119.4,1st phase - general contingent,Yes,125.0,Enrolled
9,13.555555555555555,11,12.909090909090908,Yes,No,24,No,155.0,1st phase - special contingent (Madeira Island),Yes,145.0,Enrolled
5,13.6,5,11.6,Yes,Yes,20,No,119.1,1st phase - general contingent,Yes,118.0,Graduate
0,0.0,0,0.0,No,No,25,No,122.7,Over 23 years old,No,120.0,Dropout
10,12.363636363636363,9,12.9,Yes,Yes,20,No,117.9,1st phase - general contingent,No,127.0,Graduate
8,13.22,8,13.22,Yes,No,23,No,130.0,Holders of other higher courses,No,130.0,Graduate
7,13.151428571428571,7,13.151428571428571,Yes,Yes,19,No,120.0,2nd phase - general contingent,Yes,129.0,Graduate
3,11.333333333333334,3,12.75,No,No,29,Yes,130.0,Technological specialization diploma holders,No,130.0,Dropout
4,12.25,6,11.333333333333334,Yes,No,21,No,116.8,1st phase - general contingent,Yes,121.0,Graduate
5,14.142857142857142,6,13.25,Yes,Yes,18,No,123.4,1st phase - general contingent,Yes,136.0,Graduate
5,12.4,5,12.4,Yes,No,19,No,125.4,1st phase - general contingent,Yes,125.0,Enrolled
6,12.833333333333334,6,15.0,Yes,Yes,18,No,127.2,1st phase - general contingent,Yes,131.0,Dropout
5,13.0,5,14.4,Yes,No,19,No,103.4,1st phase - general contingent,No,122.0,Graduate
0,0.0,1,11.0,Yes,No,18,No,123.2,1st phase - general contingent,Yes,127.0,Enrolled
5,10.8,5,12.4,Yes,No,18,No,124.1,2nd phase - general contingent,No,136.0,Graduate
0,0.0,1,16.0,No,Yes,37,Yes,99.5,Over 23 years old,Yes,133.1,Dropout
5,12.333333333333334,5,13.571428571428571,Yes,No,29,No,124.9,2nd phase - general contingent,No,127.0,Graduate
6,12.5,6,11.833333333333334,Yes,No,18,No,110.8,2nd phase - general contingent,No,116.0,Enrolled
5,12.666666666666666,5,11.666666666666666,Yes,Yes,19,No,118.9,1st phase - general contingent,Yes,121.0,Graduate
2,13.0,6,11.833333333333334,No,No,22,Yes,118.8,Change of course,Yes,124.0,Dropout
5,10.6,6,11.166666666666666,Yes,Yes,20,No,137.0,1st phase - general contingent,No,131.0,Graduate
0,0.0,0,0.0,Yes,No,34,No,100.0,Over 23 years old,No,100.0,Dropout
6,12.166666666666666,8,11.75,No,No,30,Yes,120.0,Change of course,No,130.0,Dropout
6,14.0,6,14.0,Yes,No,18,No,122.8,1st phase - general contingent,No,135.0,Graduate
6,12.0,6,12.833333333333334,Yes,No,18,No,121.6,1st phase - general contingent,No,130.0,Graduate
3,11.666666666666666,4,12.25,Yes,No,18,No,149.2,1st phase - general contingent,Yes,146.0,Graduate
7,14.828571428571427,7,14.828571428571427,Yes,No,18,No,140.0,2nd phase - general contingent,Yes,146.0,Graduate
